,Period,Total Sunspot No.,Storm Report No.,Mean Wind (mph),Peak Wind (mph)
0,11/1-15/19,14,56,46.142857142857146,76
1,11/16-30/19,0,34,55.1764705882353,75
2,12/1-15/19,0,10,33.7,44
3,12/16-31/19,47,33,48.878787878787875,70
4,1/1-15/20,91,120,50.275,79
5,1/16-31/20,101,14,46.09090909090909,56
6,2/1-14/20,6,196,51.39795918367347,76
7,2/15-29/20,0,38,44.55263157894737,60
8,3/1-15/20,29,80,50.6,81
9,3/16-31/20,17,71,57.028169014084504,90
10,4/1-15/20,52,334,56.26946107784431,80
11,4/16-30/20,104,586,51.73378839590443,100
12,11/1-15/20,374,693,43.66448801742919,78
13,11/16-30/20,646,171,55.03448275862069,65
